종목,현재가,고가,저가,변동,변동 %,거래량,시간
아메리프라이즈 파이낸셜,261.61,262.69,254.95,+10.64,+4.24%,719.16K,14/05
아메텍,121.04,122.49,120.00,+0.63,+0.52%,1.45M,14/05
아발론베이,207.21,207.51,203.78,+3.12,+1.53%,680.56K,14/05
아비오메드,254.16,254.55,240.03,+19.81,+8.45%,471.24K,14/05
아서 J 갤러거,162.02,162.68,158.20,+4.54,+2.88%,947.87K,14/05
아이덱스 래버러토리스,362.18,367.55,351.98,+14.23,+4.09%,827.55K,14/05
아이언마운틴,52.33,52.43,51.45,+0.43,+0.83%,1.45M,14/05
아카마이,98.67,99.35,97.13,+1.27,+1.30%,1.88M,14/05
아파치,41.15,41.92,39.25,+3.12,+8.20%,7.97M,14/05
아플락,56.28,56.70,55.84,+0.17,+0.30%,3.06M,14/05
알래스카 항공,46.15,46.45,45.05,+1.54,+3.45%,2.04M,14/05
알렉산드리아 리얼 에스테이트 에퀴티스,166.45,166.48,161.32,+4.49,+2.77%,1.43M,14/05
알버말,228.82,231.21,215.50,+15.37,+7.20%,1.08M,14/05
알트리아 그룹,53.04,53.10,52.28,+0.87,+1.67%,7.84M,14/05
알파벳 A,"2,321.01","2,357.50","2,272.10",+64.13,+2.84%,1.72M,14/05
알파벳 C,"2,330.31","2,361.70","2,280.00",+67.09,+2.96%,1.49M,14/05
암젠,243.40,245.00,241.29,-1.32,-0.54%,2.63M,14/05
암페놀,70.47,70.96,69.15,+1.84,+2.68%,1.91M,14/05
애머렌,93.11,93.30,91.60,+0.50,+0.54%,1.41M,14/05
애보트 래버러토리스,109.88,110.51,108.36,+1.91,+1.77%,6.01M,14/05
애브비,153.50,154.39,151.90,-0.79,-0.51%,6.40M,14/05
애질런트 테크놀로지스,119.38,120.71,117.27,+3.25,+2.80%,1.23M,14/05
애플,147.11,148.10,143.11,+4.55,+3.19%,112.86M,14/05
액센츄어,286.77,288.67,280.99,+5.56,+1.98%,2.37M,14/05
액티비전 블리자드,77.74,78.32,77.34,+0.36,+0.47%,4.67M,14/05
앤섬,486.45,488.52,480.14,+1.93,+0.40%,1.05M,14/05
앤시스,254.57,254.74,244.37,+14.03,+5.83%,626.62K,14/05
앱티브,98.13,98.67,93.26,+6.64,+7.26%,1.54M,14/05
얌브랜드,112.83,114.01,111.65,+2.32,+2.10%,1.23M,14/05
어도비 시스템즈,405.45,408.97,393.94,+16.96,+4.37%,3.27M,14/05
